#1
double DTIE(8761,2)
1884600 8.741250000000001e-07
1888200 1.6295416666666668e-06
1891800 1.7266666666666668e-07
1895400 3.669166666666667e-07
1899000 3.669166666666667e-07
1902600 7.014583333333334e-07
1906200 7.338333333333334e-07
1909800 0.0
1913400 0.0
1917000 0.0
1920600 3.129583333333333e-07
1924200 1.7482500000000002e-06
1927800 3.6799583333333336e-06
1931400 1.9425e-06
1935000 1.7266666666666668e-07
1938600 1.068375e-06
1942200 2.2770416666666663e-06
1945800 2.1691249999999998e-06
1949400 2.363375e-06
1953000 1.1223333333333334e-06
1956600 7.554166666666667e-07
1960200 6.79875e-07
1963800 6.79875e-07
1967400 2.082791666666667e-06
1971000 8.741250000000001e-07
1974600 1.6295416666666668e-06
1978200 1.7266666666666668e-07
1981800 3.669166666666667e-07
1985400 3.669166666666667e-07
1989000 7.014583333333334e-07
1992600 7.338333333333334e-07
1996200 0.0
1999800 0.0
2003400 0.0
2007000 3.129583333333333e-07
2010600 1.7482500000000002e-06
2014200 3.6799583333333336e-06
2017800 1.9425e-06
2021400 1.7266666666666668e-07
2025000 1.068375e-06
2028600 2.2770416666666663e-06
2032200 2.1691249999999998e-06
2035800 2.363375e-06
2039400 1.1223333333333334e-06
2043000 7.554166666666667e-07
2046600 6.79875e-07
2050200 6.79875e-07
2053800 2.082791666666667e-06
2057400 8.741250000000001e-07
2061000 1.6295416666666668e-06
2064600 1.7266666666666668e-07
2068200 3.669166666666667e-07
2071800 3.669166666666667e-07
2075400 7.014583333333334e-07
2079000 7.338333333333334e-07
2082600 0.0
2086200 0.0
2089800 0.0
2093400 3.129583333333333e-07
2097000 1.7482500000000002e-06
2100600 3.6799583333333336e-06
2104200 1.9425e-06
2107800 1.7266666666666668e-07
2111400 1.068375e-06
2115000 2.2770416666666663e-06
2118600 2.1691249999999998e-06
2122200 2.363375e-06
2125800 1.1223333333333334e-06
2129400 7.554166666666667e-07
2133000 6.79875e-07
2136600 6.79875e-07
2140200 2.082791666666667e-06
2143800 8.741250000000001e-07
2147400 1.6295416666666668e-06
2151000 1.7266666666666668e-07
2154600 3.669166666666667e-07
2158200 3.669166666666667e-07
2161800 7.014583333333334e-07
2165400 7.338333333333334e-07
2169000 0.0
2172600 0.0
2176200 0.0
2179800 3.129583333333333e-07
2183400 1.7482500000000002e-06
2187000 3.6799583333333336e-06
2190600 1.9425e-06
2194200 1.7266666666666668e-07
2197800 1.068375e-06
2201400 2.2770416666666663e-06
2205000 2.1691249999999998e-06
2208600 2.363375e-06
2212200 1.1223333333333334e-06
2215800 7.554166666666667e-07
2219400 6.79875e-07
2223000 6.79875e-07
2226600 2.082791666666667e-06
2230200 8.741250000000001e-07
2233800 1.6295416666666668e-06
2237400 1.7266666666666668e-07
2241000 3.669166666666667e-07
2244600 3.669166666666667e-07
2248200 7.014583333333334e-07
2251800 7.338333333333334e-07
2255400 0.0
2259000 0.0
2262600 0.0
2266200 3.129583333333333e-07
2269800 1.7482500000000002e-06
2273400 3.6799583333333336e-06
2277000 1.9425e-06
2280600 1.7266666666666668e-07
2284200 1.068375e-06
2287800 2.2770416666666663e-06
2291400 2.1691249999999998e-06
2295000 2.363375e-06
2298600 1.1223333333333334e-06
2302200 7.554166666666667e-07
2305800 6.79875e-07
2309400 6.79875e-07
2313000 2.082791666666667e-06
2316600 8.741250000000001e-07
2320200 1.6295416666666668e-06
2323800 1.7266666666666668e-07
2327400 3.669166666666667e-07
2331000 3.669166666666667e-07
2334600 7.014583333333334e-07
2338200 7.338333333333334e-07
2341800 0.0
2345400 0.0
2349000 0.0
2352600 3.129583333333333e-07
2356200 1.7482500000000002e-06
2359800 3.6799583333333336e-06
2363400 1.9425e-06
2367000 1.7266666666666668e-07
2370600 1.068375e-06
2374200 2.2770416666666663e-06
2377800 2.1691249999999998e-06
2381400 2.363375e-06
2385000 1.1223333333333334e-06
2388600 7.554166666666667e-07
2392200 6.79875e-07
2395800 6.79875e-07
2399400 2.082791666666667e-06
2403000 8.741250000000001e-07
2406600 1.6295416666666668e-06
2410200 1.7266666666666668e-07
2413800 3.669166666666667e-07
2417400 3.669166666666667e-07
2421000 7.014583333333334e-07
2424600 7.338333333333334e-07
2428200 0.0
2431800 0.0
2435400 0.0
2439000 3.129583333333333e-07
2442600 1.7482500000000002e-06
2446200 3.6799583333333336e-06
2449800 1.9425e-06
2453400 1.7266666666666668e-07
2457000 1.068375e-06
